rxnid	ecnum	substrates	products
16110	3.5.4.9	13 29103 	4 12375 
16131	2.6.1.54	382 6431 	6433 179 
16178	2.1.1.251	4 4517 	4217 
16262	2.7.2.11	342 7 	29344 45 
16275	1.6.5.4	29364 1054 	4 29365 245 
16281	1.14.12.19	4 184 75 13163 	29376 245 
16288	1.13.11.31	75 29387 	29388 
16355	2.1.1.-	0 29505 	29506 4 5 
16397	1.1.98.3	2546 4 29576 	2544 29577 
16466		186 29692 	172 29693 
16866	2.7.6.5	7 5290 	4 30345 9 
16892	2.1.1.245	30385 	30386 
16955	4.1.1.91	13009 4 	21 6634 
16989	6.2.1.5	7 72 172 	115 45 2047 
17014	3.5.3.12	12459 13 	30583 120 
17024	6.6.1.2	30597 30598 7 13 	115 4 30599 45 
17045		3092 1561 	3194 170 
17101	6.1.1.17	4 342 7 	9 10 
17119		30748 	30749 
17122	2.7.8.26	4 741 10350 10351 	10352 9826 741 
17146		736 4 101 	736 4 101 
17207	2.4.2.27	30894 30895 	2912 30896 4 
17211	1.3.1.-	30906 286 	4 233 30907 
17233		75 30939 13 	121 30940 
17277	3.5.1.25	13 2365 	516 53 517 
17367	2.4.2.1	115 31161 	31162 191 
17406	6.4.1.4	3569 31233 7 	31234 115 4 45 
17473	2.5.1.-	1042 31352 	31353 10 
17495	6.1.1.15	5765 31390 	10 13358 
17514	6.3.2.3	55 7 	115 1770 45 
17655	3.5.2.9	5120 31653 13 	115 5767 20441 
17689	5.1.3.-	31715 	16020 
17746	3.6.3.39	31811 7 13 	115 31811 4 45 
17777	2.1.1.137	16436 31864 	4 16437 31865 
17791		7 25 13 	115 25 45 
17831	1.2.1.28	245 13 1055 	4 3453 1054 
17899	2.5.1.1	1042 30 	10 18860 
17944	2.7.1.30	1426 7 	209 45 
17949	2.4.2.1	115 31161 	32147 191 
17956	1.1.1.-	32154 286 	4 233 32155 
18016	1.14.13.-	184 32250 75 	245 32251 13 
18036	1.2.1.3	245 32285 13 	4 184 32286 
18125	1.1.1.-	32433 286 	233 527 
18143	2.1.1.14	24708 32458 	32459 127 
18180		32513 2274 	32514 476 
18240	2.6.1.55	6708 382 	342 14396 
18290	1.14.11.23	32694 75 382 	20978 21 72 13 
18421	6.1.1.21	32897 5765 	10 13358 
18431	4.1.3.3	1640 	19926 170 
18470	1.7.2.1	1116 13 	4 27 
18710	[2.4.2.15, 2.4.2.1]	9825 115 	1379 191 
18715		4 33384 75 	21 33385 13 
18716	4.3.99.4	263 	416 2073 
18777	2.4.1.-	33491 602 	33492 559 
18823	2.1.2.2	23645 543 	4 2728 23646 
18834		33582 1390 	3364 33583 
18855	6.3.1.12	4736 33622 7 	115 4 33623 45 
18906	6.1.1.16	4 7 33708 	9 10 
18918	1.3.1.21	33729 233 	33730 286 
18958	4.2.1.-	33796 4 33797 	33798 13 
18988	6.3.4.4	5765 33848 13358 	115 5769 33849 
19007	2.7.1.100	33877 7 	4 33878 45 
19034	1.14.13.16	4 33928 233 75 	33929 13 286 
19151	2.6.1.27	6020 382 	34117 342 
19367		176 1811 	176 1811 
19405	2.7.1.108	131 34521 	756 4 23782 
19443	6.3.4.3	849 7 2728 	115 45 543 
19453	1.14.13.81	233 34601 75 	34602 13 286 
19537		34741 13 	23204 34742 
19603	1.14.14.-	2544 4 34853 75 	2546 34854 13 765 
19606	1.1.99.2	2386 4 382 	2386 34859 
19643	3.1.2.6	34922 13 	4 17126 34923 
19714		6872 	6872 
19734		7 23193 13 	115 23193 45 
19741		35068 	211 35069 
19791	2.1.3.2	33848 8969 	115 12612 
19953	3.2.1.20	736 13 	100 
19998	2.4.1.-	35474 602 	35475 4 559 
20031	2.7.1.21	7 28287 	4 29462 45 
20178		7 13 27710 	115 4 45 27710 
20255		311 	35905 
20334	2.6.1.42	36034 382 	5767 33001 
20353	2.7.1.49	36064 7 	36065 4 45 
20363	3.11.1.2	36083 13 	115 4 53 
20437		36195 13 	4 36196 53 
20565	1.1.1.38	5924 245 	21 170 1054 
20582		36426 	36426 
20589	2.3.1.29	3296 309 	2050 4 36438 
20618	1.4.3.16	4736 85 	72 22223 
20660	1.4.1.14	245 342 	4 454 184 382 
20670	2.1.1.222	36560 687 	36561 4 5 
20771	2.7.6.2	7 1995 	4 9 1069 
20788	2.6.1.65	36746 382 	342 36747 
20790		245 36749 	4 184 36750 
20837	1.6.99.5	4 1054 36830 	245 36831 
20881	1.14.13.-	233 36906 75 	36907 27 286 
20987	2.1.1.-	0 37091 	37092 4 5 
21032	2.4.2.7	9 10 	21635 282 
21101		122 	122 
21175	5.4.2.8	1803 	3194 
21219	4.1.1.44	37473 4 	37474 21 
21365	2.8.2.-	386 37706 	4 388 37707 
21414	1.1.1.262	245 10430 	37785 1054 
21433	6.3.3.1	7 37820 	115 4 45 37821 
21503	6.3.2.3	37924 7 55 	115 4 1770 45 
21563	1.3.99.7	38019 	4 21 34031 
21754	5.4.2.1	1392 	3672 
21871	1.14.-.-	75 7771 	7773 13 
21941	2.4.1.16	2642 	38666 559 
22016	1.3.1.-	4 233 30748 	38791 286 
22029		7 13 38814 	115 45 38814 
22057	1.13.11.17	38859 75 	38860 
22063		22131 13 	20757 217 
22106	2.3.1.-	38933 	1388 
22157		7 1995 13 	115 1995 45 
22168	1.5.1.38	151 286 	4 233 154 
22172	1.5.3.-	75 39039 	39040 121 
22192		191 	191 
22205	3.5.99.6	517 13 	16020 217 
22206	3.1.3.-	39090 13 	39091 115 
22208	2.6.1.98	39094 382 	342 39095 
22374	2.7.4.3	7 9 	45 
22427		39460 282 	39460 282 
22434	2.7.7.2	4 1173 5765 	1173 10 
22475	3.1.3.56	39537 13 	39538 115 
22478		39542 	39543 
22508	1.13.11.-	38225 75 	39589 
22593	3.2.1.52	39717 13 	39718 823 
22763	4.99.1.1	259 644 	40003 4 
22827	3.5.4.5	4 9036 13 	120 28827 
22880	1.14.13.198	4 40201 233 75 	40202 13 286 
22890	1.1.1.103	245 726 	21 184 40221 
23049	3.1.3.73	40473 13 	115 3419 
23377	3.5.1.-	40996 13 	17155 53 
23415	6.2.1.-	41059 7 172 	41060 9 10 
23428	2.6.1.30	41080 170 	41081 19866 
23489		41178 	16020 
23562	6.3.2.10	7 41292 	115 4 45 41293 
23694	3.5.1.9	41512 13 	849 4 41513 
23842	1.1.1.-	41744 245 	41745 4 184 
23873	1.5.1.-	4 233 41791 	41792 286 
23877	2.7.4.7	36065 7 	4 41799 45 
23944	2.4.1.-	41893 41894 	41895 559 
23969	3.7.1.-	41936 13 	41937 4 
24024		42029 	42030 
24040	1.5.1.19	42059 13 286 	4 41783 233 382 
24054	2.1.1.131	4 42088 687 	5 42089 
24104		7 42169 13 	115 42169 45 
24113		4 42184 	4 42184 
24192	2.1.1.6	42310 26474 	42311 42312 
24243	2.3.1.16	186 42395 	2597 172 
24308	2.1.1.-	0 10104 	5 19439 
24311	2.1.1.271	42500 687 	4 42501 414 
24331	2.7.1.55	11382 7 	4 45 42541 
24375	6.3.4.4	7626 5290 8366 	42610 115 4 476 
24436	2.3.1.-	0 3570 4 233 	21 5 172 42700 13 286 
24478		1995 	1995 
24479	4.1.1.17	212 	26708 21 
24526	2.1.1.43	0 16435 	4 5 16438 
24748	2.1.1.101	43202 687 	43203 4 2861 
24814		42469 	42469 
24818		5765 23498 	10 
24887	3.2.2.-	43426 13 	16098 
24894	1.1.1.65	43436 286 	4 41081 233 
25012	1.3.1.13	286 13423 	21 3255 233 
25043		43669 	43669 
25206	1.2.1.3	43920 245 13 	43921 4 1054 
25310	2.5.1.6	7 13 127 	115 16436 4 10 
25330	6.1.1.20	338 7 	9 10 
25376	3.7.1.3	44205 13 	4 5032 620 
25512	1.14.13.-	184 75 44413 	245 13 44414 
25728	5.3.1.23	33878 	44746 
25733		4 93 	4 93 
25749	6.4.1.1	3569 7 170 	115 4 696 45 
25752	1.1.1.-	370 245 	4 184 44781 
25910	4.3.1.19	726 	120 4218 
25919	5.3.1.1	12096 	211 
25949	1.1.1.116	37200 245 	4 184 45087 
26076	3.2.1.175	45302 13 	4 45303 271 
26083	5.3.1.9	23204 	16020 
26267	6.1.1.17	5120 5767 	5121 10 
26329	2.1.1.13	45705 20015 	4 1256 23647 
26363	2.1.3.2	45761 8969 	115 12612 4 
26371	1.13.11.6	5032 75 	4 45771 
26423	3.6.3.4	5765 13 21070 	115 5769 21070 
26425		2544 45862 75 	2546 4 34853 13 765 
26440	1.13.11.2	38225 75 13 	4 886 8541 
26448	2.4.2.-	28288 191 	115 45896 
26458		45911 13 	4 45912 45913 
26487	3.6.3.16	7 36426 13 	115 4 36426 45 
26510	4.2.1.134	45989 	45990 13 
26536	6.1.1.6	4 7 8 	9 10 
26582		46097 46098 	46099 13 
26646	1.10.3.-	46208 4 75 	46209 13 
26781	1.14.13.-	46419 4 233 75 	46420 13 286 
26810	2.7.7.39	209 131 4 	10 46459 
26840	3.2.1.-	42625 13 	3092 4 476 
26916	2.1.1.69	0 46615 	4 5 46616 
26953	6.3.4.6	21 7 13 3005 	115 4 46677 45 
26976		115 	115 
26986	1.13.11.52	4 46724 75 	41512 
27143	3.7.1.12	46967 13 	416 4 46968 
27144	2.7.4.13	40965 7 	30160 45 
27255	1.8.3.5	47144 75 13 	121 41643 33708 
27316		47238 47239 	47240 13 
27339	3.1.1.17	47266 13 	17599 
27407	1.14.12.13	4 47381 184 75 	1010 21 245 765 
27446	2.5.1.6	47442 5765 13 	115 47443 10 
27504	4.4.1.5	1225 	17801 1770 
27559	1.1.1.22	245 31532 13 	4 557 1054 
27598	1.1.1.93	245 47679 	47680 4 1054 
27611	2.5.1.78	47699 47700 	115 4 47701 13 
27661	1.3.1.70	11248 286 	11249 4 233 
27745	[4.1.2.49, 4.1.2.48]	8704 	416 55 
27859	1.14.13.173	4 48087 233 75 	48088 13 286 
27870	2.4.1.1	115 	145 
